,video_id,width,height,duration
141,nwQH2fBfG2M,1280,720,338.803
142,ao7Ealgo-w4,320,240,338.873
143,Z4YqHZl5i38,1280,720,339.012
144,-xOX_OWeXN8,640,480,339.234
145,WPKUBiIl0dM,1280,720,339.430
146,1MsjT1W9dto,1920,1080,339.499
147,sQ3FooNcztA,490,360,339.523
148,mGg849CZDf8,1280,720,339.569
149,yWNmMQtW7TE,854,470,339.708
150,t5fotIqHXYc,320,240,340.057
151,ga9nW8rq3Vo,640,480,340.173
152,h1KPHqhsZ5I,1920,1080,340.359
153,dT_9VWYrDuQ,1920,1080,340.521
154,0sdLNjzuXOg,1280,720,340.867
155,GuVsRqODcnA,640,360,340.939
156,yiobVyrE_h8,1280,720,340.962
157,0sbvF3cwEMY,608,1080,341.167
158,_F7OvOXjP5E,1280,720,341.427
159,SJmlmMlMmuw,480,360,341.589
160,PMbNbtFa4bg,1280,720,341.752
161,3unkvvj3pTI,1920,1080,341.845
162,VEEZerPW_DU,1920,1080,342.030
163,CIuZv8LzxkE,1280,720,342.193
164,GzTIjo2URPw,854,480,342.216
165,F2b_8G8EZ-4,1920,1080,342.263
166,USB0jKcGiO8,640,480,342.332
167,ZKrXh1PN-hU,1920,1080,342.448
168,Pfc0DNIfcss,1920,1080,342.541
169,uaxK_UBFFJc,1280,720,342.588
170,p4Kk9DNEojc,640,360,342.773
171,G97mFYPG7uA,1920,1080,342.843
172,yV41PtjKd5Q,1280,720,342.843
173,4Jzo5IicgZY,1920,1080,342.866
174,wZy0AW_vXyY,1920,1080,342.866
175,-QURWodpfrY,1920,1080,343.234
176,o3Y0_1l94co,1920,1080,343.470
177,JCXHf1gnDFE,1280,720,343.493
178,xpSjh015Yl8,1920,1080,343.725
179,-JHkFUq9Wtw,854,480,343.800
180,KSs7E5Zwpw0,1920,1080,344.097
181,TuZUCR7S104,640,360,344.143
182,0KPnlbkfdmg,1280,720,344.200
183,gtoE8VqucL8,1920,1080,344.329
184,z_Bb35zfIbo,320,240,344.422
185,ILR-qTu1SOI,1280,720,344.469
186,v5Odz0mJxPA,1280,720,344.561
187,Ci_C0bGPijo,1280,720,344.631
188,gPxyYnuLExU,1920,1080,344.700
189,eXpCzBCv2WM,1280,720,344.747
190,B63aO7OsFsM,1280,720,344.770
191,N0gz3aYWNa8,1920,1080,344.863
192,Q0CB4UHhZR4,1280,720,344.867
193,unnWs4yW2i0,1280,720,345.049
194,VMtkSYDBeuU,1920,1080,345.072
195,MYxSaqI9sow,1280,720,345.165
196,ycBm0ClT87w,1280,720,345.235
197,04JogsVnBiY,1920,1080,345.267
198,RdeE7Yk7dH0,480,360,345.304
199,TBpNAZF3vXA,1920,1080,345.490
200,FhLa-yNeJYg,640,360,345.513
201,hRnrbbsq3gQ,854,480,345.746
202,PCtmV9YKrsE,480,360,345.769
203,XejPjl5YjyU,480,360,345.908
204,1iNt6bjbG4Y,1920,1080,346.117
205,euAnwp0vWy0,480,360,346.280
206,HKpNdgDA9KQ,1280,720,346.373
207,rhi7bncO1UM,1280,720,346.721
208,TQcpsIS5MyQ,1920,1080,346.767
209,qcI9hW5uJfw,1280,720,346.791
210,I7WbQ8Gg9c8,1280,720,346.883
211,lE3RrSXp6fk,640,480,346.907
212,1s1RXDBSvc0,1280,720,347.092
213,zer26_0kfGU,640,360,347.116
214,aKwOgRuzWnY,1280,720,347.301
215,XECCcDwOyyU,1920,1080,347.348
216,YZzuFIW7KO0,1280,720,347.603
217,B8R0-R7DL1c,640,360,347.719
218,7d84q5BSRY8,1280,720,347.789
219,V947UL0TFNg,1920,1080,347.952
220,4giHir_Ha9I,640,480,348.068
221,JUgQ-6UfCQs,1920,1080,348.277
222,rWPletyA9XQ,1280,720,348.323
223,cwl66QMBzN4,1280,720,348.439
224,8aXlfrs-G7Y,1920,1080,348.578
225,jDh4-_t_UZg,316,240,348.578
226,86p_Tkpjnv8,640,360,348.648
227,i9To7CowUb4,1920,1080,348.695
228,7Ri0PeY3irM,720,720,348.880
229,C2YI8zc3hTA,1280,720,348.904
230,OJPGNMwcvLI,1920,1080,349.089
231,rLMDfzE6h8E,640,360,349.205
232,Q2CZszmTYn0,640,360,349.321
233,s-Q6I7dZUJ0,640,480,349.414
234,LXx7zgs2yME,1920,1080,349.623
235,CGa1RUsFPSE,1280,720,349.763
236,mVaBeOECrYU,1280,720,349.832
237,xWI4MuUSrBc,640,360,349.856
238,u9z-KTIH5Zs,1920,1080,349.879
239,pjvBVGltGu0,1280,720,349.972
240,IqB7DSTAXJM,1920,1080,349.995
241,TmXeb-Mx3ps,1280,720,350.041
242,gM2Cu_dU7_0,320,240,350.065
243,sHsaMczWkrY,1920,1080,350.181
244,6OVquM0eous,1280,720,350.413
245,DlhBkXUz2IM,640,360,350.506
246,SSj3taK0ySk,1920,1080,350.599
247,_9J7Xp8b-0k,1280,720,350.831
248,LP80P98CjIs,316,240,350.877
249,ZlzdbfqExgY,1280,720,351.040
250,I4ZCsSMw8TY,1280,720,351.133
251,DXvE9LwmpF8,1280,720,351.481
252,lL8uPAZoGIM,1280,720,351.481
253,Kb9W9u8cPAE,1280,720,351.551
254,XK43vOj_rks,1280,720,351.551
255,nBPSq2QTUXo,1920,1080,351.574
256,Q6YNr9xygeM,1920,1080,351.597
257,Gnu0-L1yqwc,636,480,351.992
258,aEoj-3O4QaI,640,360,352.131
259,Ul1TPBJTBuA,1920,1080,352.247
260,E5JmoLbI97o,1280,720,352.294
261,BruBAOxIVEE,320,240,352.387
262,VkvuM2ZTH7Q,1280,720,352.456
263,ONi2BR6977Y,1280,720,352.503
264,yAIgPPjmxtU,322,240,352.526
265,7miLeN5GNbI,640,480,352.549
266,OnukPbVDM-c,480,360,353.037
267,_LnV5KzQmgE,1280,720,353.199
268,P7iuj-QUv4Q,1920,1080,353.292
269,dYaweYe7VrY,1280,720,353.315
270,Kf0KHD-KcVA,320,240,353.430
271,z6eMM3VxgZw,1920,1080,353.478
272,L21jKVPF90Y,1280,720,353.733
273,sElHe4GjwOI,720,480,353.873
274,ljHygNaFotA,1920,1080,353.942
275,sVHqHGDd4BQ,1920,1080,354.012
276,ZyIdb5SHDY0,1280,720,354.035
277,VWuMebgt1hg,480,480,354.058
278,efhT8_zJ76w,1920,1080,354.082
279,TZtyulrk0Eo,1280,720,354.360
280,Lz9wGMqkK2o,1280,720,354.430
281,oo7KZZ6sK1Y,1280,720,354.453
282,GcoUCZKVxN8,720,480,354.500
283,_HFod0hp1rk,1280,720,354.778
284,Dp-oJ-Q7Ckc,1280,720,354.848
285,SHD8mMVUICM,320,240,354.987
286,QjnOMbkQZ0U,800,480,355.057
287,PXY35NZxmJI,640,360,355.080
288,mGF3q0JcwYI,1280,720,355.126
289,9b4i0YwdUs4,640,480,355.243
290,c8QBsiKJvBw,1280,720,355.289
291,rQY-LkSUnio,640,360,355.335
292,HwsUkixOG98,1920,1080,355.382
293,4jEaq0Pko-k,320,240,355.452
294,4pLP6lV9Ksg,1920,1080,355.823
295,Y5HCpgHeBcA,1920,1080,355.823
296,G1Tu4DyVTQg,1280,720,355.986
297,d90JLwCecDo,1280,720,356.055
298,TXs82zyuFFw,1280,720,356.589
