,track_length,width,height,fps
0,27.2,1920,1080,30
1,64.83333333333331,1920,1080,30
2,18.69999999999999,854,480,30
3,21.49999999999997,854,480,30
4,34.366666666666674,854,480,30
5,13.666666666666629,854,480,30
6,43.76666666666665,854,480,30
7,22.5,854,480,30
8,18.5,470,360,30
9,10.033333333333331,470,360,30
10,10.833333333333343,470,360,30
11,15.099999999999966,470,360,30
12,10.633333333333326,470,360,30
13,12.433333333333337,470,360,30
14,12.966666666666697,470,360,30
15,11.56666666666672,470,360,30
16,22.56666666666672,470,360,30
17,14.899999999999977,470,360,30
18,12.233333333333348,470,360,30
19,11.700000000000045,470,360,30
20,10.166666666666742,470,360,30
21,11.766666666666652,470,360,30
22,11.233333333333235,470,360,30
23,11.833333333333258,470,360,30
24,27.433333333333167,470,360,30
25,13.633333333333212,470,360,30
26,20.5,470,360,30
27,12.766666666666652,470,360,30
28,24.76666666666665,470,360,30
29,11.299999999999955,470,360,30
30,10.533333333333333,1280,720,30
31,34.56666666666667,1280,720,30
32,11.399999999999999,1280,720,30
33,17.46666666666667,1280,720,30
34,12.233333333333334,1280,720,30
35,12.666666666666671,1280,720,30
36,12.766666666666652,1280,720,30
37,35.33333333333334,1280,720,30
38,19.866666666666674,1280,720,30
39,10.733333333333292,1280,720,30
40,39.900000000000034,1280,720,30
41,13.633333333333326,1280,720,30
42,13.066666666666663,1280,720,30
43,17.0,1280,720,30
44,12.43333333333328,1280,720,30
45,21.133333333333326,1280,720,30
46,12.100000000000023,1280,720,30
47,29.03333333333333,1280,720,30
48,12.433333333333337,1280,720,30
49,19.69999999999999,1280,720,30
50,12.266666666666652,1280,720,30
51,10.366666666666674,1280,720,30
52,18.133333333333326,1280,720,30
53,11.333333333333314,1280,720,30
54,11.266666666666652,1280,720,30
55,14.733333333333292,1280,720,30
56,22.166666666666686,1280,720,30
57,17.03333333333336,1280,720,30
58,16.600000000000023,1280,720,30
59,25.16666666666663,1280,720,30
60,18.16666666666663,1280,720,30
61,14.566666666666606,1280,720,30
62,15.666666666666629,1280,720,30
63,25.83333333333337,1280,720,30
64,14.433333333333394,1280,720,30
65,11.733333333333348,1280,720,30
66,23.66666666666663,1280,720,30
67,26.73333333333335,1280,720,30
68,12.933333333333394,1280,720,30
69,11.100000000000023,1280,720,30
70,25.26666666666665,1280,720,30
71,17.76666666666665,1280,720,30
72,21.73333333333335,1280,720,30
73,12.56666666666672,1280,720,30
74,11.433333333333394,1280,720,30
75,12.666666666666629,1280,720,30
76,27.299999999999955,1280,720,30
77,17.0,1280,720,30
78,24.833333333333485,1280,720,30
79,16.63333333333344,1280,720,30
80,14.066666666666606,1280,720,30
81,13.833333333333332,1280,720,30
82,21.03333333333333,1280,720,30
83,11.033333333333331,1280,720,30
84,12.299999999999997,1280,720,30
85,10.733333333333334,1280,720,30
86,20.5,1280,720,30
87,17.533333333333317,1280,720,30
88,15.366666666666674,1280,720,30
89,15.433333333333337,1280,720,30
90,15.333333333333343,1280,720,30
91,15.23333333333332,1280,720,30
92,15.266666666666652,1280,720,30
93,15.099999999999994,1280,720,30
94,14.966666666666669,1280,720,30
95,33.53333333333336,1280,720,30
96,33.53333333333336,1280,720,30
97,33.4666666666667,1280,720,30
98,33.56666666666666,1280,720,30
99,33.33333333333337,1280,720,30
100,24.166666666666686,1280,720,30
101,12.166666666666686,1280,720,30
102,35.333333333333314,1280,720,30
103,35.366666666666674,1280,720,30
104,35.43333333333334,1280,720,30
105,35.400000000000034,1280,720,30
106,35.16666666666663,1280,720,30
107,18.433333333333337,1280,720,30
108,35.166666666666686,1280,720,30
109,12.133333333333326,1280,720,30
110,16.03333333333336,1280,720,30
111,10.166666666666686,1280,720,30
112,11.266666666666765,1280,720,30
113,17.700000000000045,1280,720,30
114,15.333333333333371,1280,720,30
115,22.100000000000023,1280,720,30
116,48.43333333333328,1280,720,30
117,16.40000000000009,1280,720,30
118,10.633333333333326,1280,720,30
119,22.299999999999997,1280,720,30
120,20.1,1280,720,30
121,26.23333333333334,1280,720,30
122,34.266666666666666,1280,720,30
123,33.53333333333333,1280,720,30
124,72.53333333333333,1280,720,30
125,11.866666666666617,1280,720,30
126,11.766666666666652,1280,720,30
127,87.56666666666666,1280,720,30
128,33.76666666666671,1280,720,30
129,33.56666666666666,1280,720,30
130,75.43333333333334,1280,720,30
131,59.16666666666663,1280,720,30
132,21.466666666666697,1280,720,30
133,39.933333333333394,1280,720,30
134,15.666666666666742,1280,720,30
135,11.366666666666674,1920,1080,30
136,11.799999999999955,1920,1080,30
137,12.466666666666669,640,480,30
138,15.866666666666674,640,480,30
139,18.133333333333326,640,480,30
140,12.800000000000011,640,480,30
141,11.533333333333303,640,480,30
142,93.96666666666667,1280,720,30
143,44.76666666666665,1280,720,30
144,25.96666666666667,1280,720,30
145,20.599999999999966,1280,720,30
146,18.399999999999977,1280,720,30
147,69.13333333333333,1280,720,30
148,12.300000000000011,1280,720,30
149,55.866666666666674,1280,720,30
150,16.16666666666663,1280,720,30
151,19.73333333333335,1280,720,30
152,29.966666666666697,1280,720,30
153,18.333333333333258,1280,720,30
154,23.033333333333303,1280,720,30
155,76.9666666666667,1280,720,30
156,25.466666666666697,1280,720,30
157,20.83333333333337,1280,720,30
158,18.399999999999977,1280,720,30
159,24.366666666666674,1280,720,30
160,34.33333333333337,1280,720,30
161,39.566666666666606,1280,720,30
162,36.93333333333328,1280,720,30
163,35.09999999999991,1280,720,30
164,34.799999999999955,1280,720,30
165,34.63333333333344,1280,720,30
166,11.36666666666656,1280,720,30
167,13.866666666666788,1280,720,30
168,13.899999999999864,1280,720,30
169,32.566666666666606,1280,720,30
170,32.4666666666667,1280,720,30
171,11.733333333333348,1280,720,30
172,19.26666666666665,1280,720,30
173,13.333333333333258,1280,720,30
174,11.53333333333353,1280,720,30
175,13.666666666666515,1280,720,30
176,16.26666666666665,1280,720,30
177,12.733333333333348,1280,720,30
178,49.13333333333344,1280,720,30
179,21.76666666666665,1280,720,30
180,18.0,1280,720,30
181,18.0,1280,720,30
182,23.200000000000045,1280,720,30
183,140.0333333333333,1280,720,30
184,15.266666666666652,1280,720,30
185,15.266666666666652,1280,720,30
186,54.0,1280,720,30
187,10.5,1280,720,30
188,43.83333333333326,1280,720,30
189,15.366666666666788,1280,720,30
190,20.23333333333335,1280,720,30
191,40.5,1280,720,30
192,14.733333333333348,1280,720,30
193,32.80000000000018,1280,720,30
194,22.466666666666697,1280,720,30
195,28.26666666666688,1280,720,30
196,25.666666666666515,1280,720,30
197,14.133333333333667,1280,720,30
198,82.0666666666666,1280,720,30
199,29.800000000000182,1280,720,30
200,16.76666666666688,1280,720,30
201,10.699999999999818,1280,720,30
202,11.533333333333303,1280,720,30
203,16.433333333333394,1280,720,30
204,13.699999999999818,1280,720,30
205,21.733333333333576,1280,720,30
206,27.966666666666697,1280,720,30
207,29.09999999999991,1280,720,30
208,21.16666666666697,1280,720,30
209,10.733333333333576,1280,720,30
210,31.83333333333303,1280,720,30
211,22.266666666666424,1280,720,30
212,30.066666666666606,1280,720,30
213,14.933333333333394,1280,720,30
214,17.266666666666424,1280,720,30
215,34.066666666666606,1280,720,30
216,22.533333333333303,1280,720,30
217,21.59999999999991,1280,720,30
