video_id,frame_rate,batch_size,min_face_size,max_frame_size,width,height,video_length,detection_length
SDg8k4unARE,30.0,36,20,,1920,1080,1988.3666666666666,10931.277359724045
T6Vi0KNafrc,30.0,34,20,,1920,1080,1362.5666666666666,10285.9456512928
tLEA4uf032k,30.0,34,20,,1920,1080,575.2333333333333,3957.078162431717
tLfe4jqPdEU,30.0,256,20,,640,480,702.0333333333333,797.9823896884918
u159fUSRxG8,30.0,34,20,,1920,1080,911.5,4235.187955856323
UGSgLXCg6P0,30.0,94,20,,1280,720,507.56666666666666,1210.6483075618744
vfOBPfBSTLI,30.0,94,20,,1280,720,911.2666666666667,3581.2440452575684
VHS84WsjJfk,30.0,382,20,,640,360,2971.8333333333335,6669.282389163971
vrRGcb_3NE0,30.0,84,20,,1280,720,836.8333333333334,6783.2331602573395
vT-asdHWKC0,30.0,84,20,,1280,720,1256.4666666666667,5497.437717914581
Wa3WKhsm_G0,30.0,172,20,,854,480,2636.3,4874.575139045715
wOxeHyodJqw,30.0,536,20,,420,320,363.1,332.0082106590271
Wpv68wbRNY0,30.0,34,20,,1920,1080,665.3666666666667,3470.129093647003
wUEpQ8dd9Pk,30.0,34,20,,1920,1080,816.7333333333333,2753.5689532756805
wYZ76l6sDCE,30.0,46,20,,1920,1080,1004.8333333333334,2358.9845242500305
x8DClIxtZms,30.0,168,20,,854,480,423.3,542.8335423469543
YekvbVTlncI,30.0,1024,20,,320,240,406.4,312.8133635520935
YhXIZMg0pbM,30.0,34,20,,1920,1080,990.4333333333333,3863.5476014614105
yS9pnOV37Dk,30.0,46,20,,1920,1080,3171.366666666667,27080.96965765953
zkgGybGmTlQ,30.0,318,20,,658,480,810.6,1902.3038487434387
zR7L_BoYY-c,30.0,94,20,,1280,720,920.2333333333333,1324.1180889606476
Zs23wXpjvak,30.0,382,20,,640,360,1911.7,1970.7057993412018
_S4Dlym0fY0,30.0,446,20,,490,360,442.3,459.42548298835754
0VrxAn-goEw,3.0,176,20,,854,480,536.5666666666667,256.86322474479675
0yTEcgQNoQo,3.0,512,20,,470,360,1332.0,226.23588681221008
26wTw6UGoAY,3.0,94,20,,1280,720,1211.8,552.7918033599854
2EBekZXEF3w,3.0,94,20,,1280,720,750.9666666666667,309.24220156669617
3h_idnfM5Mw,3.0,38,20,,1920,1080,737.4,504.3759777545929
