,video_id,width,height,area,duration
961,5QLqK3aWtKs,1920,1080,2073600,2333.304
962,5QUk5o-VrmI,1280,720,921600,400.429
963,5QW1eH5NbwA,1280,720,921600,822.289
964,5QXoLg_4Kzo,316,240,75840,831.646
965,5Q_bFIFSXLI,316,240,75840,1211.293
966,5r6D7sYyrTE,1280,720,921600,547.899
967,5rlnuMKAYe0,1920,1080,2073600,926.059
968,5ScICMEjGXA,1280,720,921600,3192.814
969,5skvK67m3Xg,640,360,230400,2077.698
970,5SxADbVcIpw,1280,720,921600,1560.962
971,5T9nI_h818M,640,360,230400,581.962
972,5tabjrE9iss,1920,1080,2073600,506.265
973,5tHXKS-_Z-s,1920,1080,2073600,447.937
974,5TLAA8F_zpU,1280,720,921600,333.091
975,5tZvn4kNG6g,1280,720,921600,1206.951
976,5uFwjshzP5Y,1920,1080,2073600,492.356
977,5UGR-d18B1c,640,360,230400,753.024
978,5UjRhl1gJ7I,1280,720,921600,765.423
979,5ushu__gDZE,1280,720,921600,1640.374
980,5uyZT_O6fWo,590,1280,755200,2529.861
981,5Vg2fQRfI10,1280,720,921600,2550.921
982,5vkpXODoSl4,1920,1080,2073600,414.848
983,5VMTCR6c_6E,720,480,345600,416.102
984,5WL-DoI_A-4,320,240,76800,542.488
985,5x1_zu1cUdw,1280,720,921600,376.442
986,5XtvOeBj0jc,1280,720,921600,491.66
987,5xVIOnmV-18,1920,1080,2073600,3448.141
988,5Y2gqfMAqoU,1920,1080,2073600,1959.161
989,5ybRt5ed-Sg,1280,720,921600,1135.085
990,5ydkVi0Mdi0,640,354,226560,927.313
991,5YeHO1AkwZU,640,360,230400,1273.36
992,5yexDSLo5Lo,854,480,409920,3150.902
993,5ykSbl4u_RQ,854,480,409920,455.855
994,5Z-agSerUuU,1920,1080,2073600,388.331
995,5zBT1-jw5MA,1280,720,921600,329.12
996,5zdvKzdAlwU,1920,1080,2073600,553.541
997,5zk_TtRGSc8,1280,720,921600,1031.338
998,5zmUlrCjF24,640,356,227840,469.02
999,5zqwV5J0jrw,1920,1080,2073600,815.926
1000,5zwpPBhaAQg,1280,720,921600,3133.092
1001,5ZxM6CtlO_M,1280,720,921600,2798.237
1002,5_FixO8EUYw,640,480,307200,324.685
1003,6-bglm2gDbk,1920,1080,2073600,3438.736
1004,6-RFMYYvafQ,480,360,172800,805.524
1005,60Bi9L6UeUs,1920,1080,2073600,418.517
1006,61BB24u2Q_Y,1280,720,921600,648.882
